,semiangle_cutoff,defocus,energy,max_iter,step_size,identical_slices_iter,slice_thicknesses,num_slices,NMSE
167,10.6,7.0,248000.0,20.0,0.6,473.0,36.2,50.0,0.6958752274513245
168,26.5,16.0,222000.0,18.0,0.09,390.0,18.9,33.0,0.4707031548023224
169,8.1,76.0,265000.0,16.0,0.2,60.0,27.3,46.0,0.8010128140449524
170,2.6,181.0,60000.0,9.0,0.24,274.0,16.8,38.0,0.6553055047988892
171,2.4,50.0,222000.0,6.0,0.07,390.0,16.3,30.0,0.9101749658584595
172,3.6,150.0,158000.0,12.0,0.49,291.0,36.2,1.0,0.44837754964828497
173,20.1,38.0,237000.0,10.0,0.28,430.0,37.8,69.0,0.7804291248321533
174,18.3,76.0,148000.0,16.0,0.06,216.0,12.6,12.0,0.3918854892253875
175,27.1,78.0,232000.0,16.0,0.64,181.0,12.4,39.0,0.8344592452049256
176,6.7,118.0,148000.0,19.0,0.95,126.0,35.4,40.0,0.6087555885314941
177,13.4,22.0,292000.0,19.0,0.18,48.0,7.0,93.0,0.7179597616195679
178,26.0,132.0,3000.0,10.0,0.32,473.0,44.9,7.0,0.44938075542449946
179,6.9,119.0,74000.0,3.0,0.87,249.0,17.7,54.0,0.7873623371124268
180,23.2,167.0,81000.0,12.0,0.05,406.0,17.2,25.0,0.4604756832122803
181,11.1,32.0,273000.0,9.0,0.39,180.0,39.3,30.0,0.7281822562217712
182,7.0,36.0,159000.0,1.0,0.86,458.0,1.5,26.0,1.5160645246505737
183,9.5,168.0,3000.0,18.0,0.75,467.0,44.5,41.0,0.5568013787269592
184,12.4,12.0,21000.0,16.0,0.48,393.0,38.9,29.0,0.493355929851532
185,28.1,78.0,252000.0,16.0,0.45,82.0,27.4,32.0,0.7295558452606201
186,13.8,194.0,191000.0,19.0,0.63,12.0,11.9,90.0,0.5493938326835632
187,21.9,12.0,261000.0,7.0,0.38,14.0,23.0,48.0,0.46364217996597284
188,5.4,108.0,286000.0,14.0,0.04,496.0,2.3,32.0,0.6262279152870178
189,20.5,183.0,53000.0,7.0,0.59,258.0,32.4,98.0,0.5908529758453369
190,14.3,176.0,20000.0,10.0,0.13,401.0,44.9,17.0,0.49496862292289734
191,24.6,47.0,148000.0,10.0,0.94,252.0,35.3,30.0,0.58919358253479
192,19.3,101.0,14000.0,6.0,0.44,379.0,33.0,99.0,0.5878099203109741
193,15.8,193.0,289000.0,8.0,0.65,344.0,10.1,54.0,0.6962255835533142
194,26.1,121.0,173000.0,19.0,0.04,23.0,38.1,8.0,0.49440824985504145
195,6.9,70.0,45000.0,20.0,0.94,431.0,28.6,67.0,0.9679668545722961
196,17.2,147.0,51000.0,11.0,0.09,262.0,5.4,37.0,0.44963029026985163
197,28.9,153.0,43000.0,12.0,0.18,59.0,32.3,45.0,0.6048247218132019
198,21.2,104.0,57000.0,9.0,0.67,437.0,7.6,8.0,0.48269549012184143
199,27.1,167.0,97000.0,9.0,0.96,125.0,7.6,22.0,0.5242879390716553
200,7.3,186.0,269000.0,5.0,0.62,38.0,46.7,46.0,0.9443337321281433
201,26.7,182.0,269000.0,1.0,0.27,10.0,31.0,49.0,0.7665287256240845
202,12.5,65.0,249000.0,3.0,0.96,256.0,11.8,57.0,0.9274980425834656
203,10.2,98.0,84000.0,20.0,0.91,30.0,43.8,7.0,0.489389568567276
204,10.6,87.0,148000.0,16.0,0.57,222.0,24.3,11.0,0.522218644618988
205,16.5,28.0,75000.0,12.0,0.34,186.0,6.0,12.0,0.4778645634651184
206,7.6,126.0,286000.0,11.0,0.11,477.0,36.4,8.0,0.6810724139213562
207,11.5,198.0,5000.0,19.0,0.58,356.0,26.4,43.0,0.5065011382102966
208,23.7,57.0,92000.0,17.0,0.88,400.0,37.1,95.0,0.6189830303192139
209,1.5,106.0,51000.0,3.0,0.33,8.0,4.1,76.0,1.0
210,7.8,99.0,121000.0,12.0,0.11,329.0,16.6,75.0,0.7786120176315308
211,25.7,117.0,226000.0,2.0,0.11,115.0,40.1,27.0,0.5977380871772766
212,19.8,75.0,109000.0,8.0,0.21,364.0,4.1,37.0,0.5133969783782959
213,12.2,141.0,154000.0,10.0,0.86,83.0,5.1,12.0,0.5402199625968933
214,14.3,100.0,103000.0,9.0,0.65,328.0,46.8,19.0,0.5274900794029236
215,25.6,178.0,144000.0,20.0,0.11,400.0,28.4,93.0,0.645514726638794
216,23.0,113.0,57000.0,6.0,0.81,390.0,30.8,17.0,0.7555665969848633
217,19.0,72.0,201000.0,19.0,0.94,412.0,23.4,77.0,0.9711340665817261
218,20.7,172.0,269000.0,14.0,0.51,31.0,29.9,97.0,0.8889209032058717
219,23.1,104.0,286000.0,13.0,0.59,469.0,37.6,10.0,0.4432922899723053
220,1.9,23.0,278000.0,9.0,0.25,187.0,24.0,80.0,0.9100658893585205
221,14.6,162.0,103000.0,10.0,0.07,59.0,37.2,16.0,0.5635045766830444
222,10.5,150.0,140000.0,13.0,0.98,402.0,36.7,67.0,0.7211228013038635
223,25.7,7.0,166000.0,6.0,0.11,483.0,7.8,71.0,0.7139281034469604
224,25.1,172.0,158000.0,12.0,0.13,328.0,37.2,31.0,0.47916388511657715
225,20.2,100.0,286000.0,5.0,0.32,427.0,17.6,33.0,0.4664094448089599
226,24.6,157.0,5000.0,17.0,0.05,480.0,26.6,30.0,0.4858857691287994
227,1.0,82.0,286000.0,11.0,0.46,410.0,18.0,66.0,0.8685837388038635
228,11.7,177.0,6000.0,9.0,0.92,476.0,42.0,50.0,0.9154384136199951
229,28.9,169.0,158000.0,1.0,0.9,286.0,32.1,2.0,0.8534590005874633
230,21.7,176.0,158000.0,7.0,0.03,361.0,13.6,5.0,0.487354189157486
231,28.6,137.0,3000.0,16.0,0.9,483.0,33.1,3.0,0.4763216972351074
232,15.0,183.0,183000.0,8.0,0.53,121.0,13.6,75.0,0.7076064348220825
233,15.6,118.0,54000.0,18.0,0.42,396.0,47.5,26.0,0.6553274393081665
234,8.5,152.0,158000.0,18.0,0.52,278.0,46.8,29.0,0.6293821334838867
235,29.5,151.0,169000.0,5.0,0.13,177.0,20.9,75.0,0.7024409174919128
236,18.8,170.0,158000.0,9.0,0.72,346.0,44.2,56.0,0.49224269390106196
237,23.4,2.0,186000.0,15.0,0.65,219.0,1.6,12.0,0.46353513002395635
238,23.0,103.0,14000.0,3.0,0.11,224.0,13.6,41.0,0.5542119145393372
239,27.5,67.0,263000.0,3.0,0.84,142.0,22.2,36.0,0.7306724190711975
240,6.5,109.0,208000.0,9.0,0.89,205.0,45.9,79.0,0.9804351329803467
241,17.9,166.0,5000.0,17.0,0.23,476.0,41.1,34.0,0.49384003877639776
242,29.5,183.0,81000.0,8.0,0.2,421.0,23.5,72.0,0.8367681503295898
243,29.9,175.0,51000.0,17.0,0.8,255.0,28.6,44.0,0.5367479920387268
244,4.9,182.0,298000.0,5.0,0.7,192.0,37.3,88.0,0.9942989349365233
245,6.6,171.0,158000.0,6.0,0.14,349.0,29.5,50.0,0.902761161327362
246,5.4,92.0,121000.0,20.0,0.11,349.0,38.0,45.0,0.669687032699585
247,26.2,55.0,141000.0,10.0,0.38,396.0,49.7,54.0,0.7503573298454285
248,16.4,193.0,107000.0,7.0,0.83,335.0,10.9,78.0,0.5870249271392822
249,29.2,117.0,9000.0,19.0,0.54,473.0,4.2,38.0,0.5354958176612854
250,1.3,110.0,114000.0,9.0,0.78,220.0,10.0,9.0,0.5988211631774902
251,22.8,75.0,283000.0,3.0,0.12,126.0,14.9,11.0,0.476545661687851
252,4.6,89.0,111000.0,3.0,0.83,271.0,31.4,34.0,0.8655118942260742
253,24.1,68.0,223000.0,18.0,0.75,451.0,49.7,76.0,0.8819849491119384
254,11.3,160.0,99000.0,9.0,0.12,293.0,24.0,13.0,0.5935919880867004
255,15.6,28.0,261000.0,17.0,0.08,46.0,23.1,64.0,0.5347015261650085
256,5.2,136.0,295000.0,1.0,0.26,462.0,42.2,76.0,1.669381022453308
257,19.6,38.0,186000.0,19.0,0.34,240.0,31.9,4.0,0.34977197647094727
258,17.7,59.0,111000.0,18.0,0.09,232.0,19.3,82.0,0.6125603914260864
259,24.1,102.0,151000.0,5.0,0.37,473.0,10.0,44.0,0.47016581892967224
260,13.0,111.0,166000.0,8.0,0.52,279.0,32.6,31.0,0.6387937664985657
261,17.2,175.0,145000.0,18.0,0.05,394.0,48.7,41.0,0.49822157621383667
262,18.5,139.0,75000.0,14.0,0.25,9.0,19.0,67.0,0.6802741885185242
263,29.8,189.0,253000.0,6.0,0.89,396.0,26.3,39.0,0.6356256008148193
264,23.8,6.0,21000.0,14.0,0.38,390.0,11.1,47.0,0.620111346244812
265,19.4,11.0,111000.0,11.0,0.57,263.0,44.2,76.0,0.5360346436500549
266,17.9,132.0,203000.0,13.0,0.43,138.0,17.7,27.0,0.45223817229270935
267,3.8,82.0,285000.0,13.0,0.51,16.0,12.7,77.0,0.8294025659561157
268,14.3,43.0,148000.0,11.0,0.49,240.0,1.8,11.0,0.4610923826694488
269,4.2,148.0,54000.0,10.0,0.93,374.0,49.0,12.0,0.5121282935142517
270,5.3,149.0,261000.0,10.0,0.44,11.0,29.0,49.0,0.8346465826034545
271,17.3,153.0,196000.0,14.0,0.79,48.0,18.4,40.0,0.5625346302986145
272,19.9,89.0,63000.0,13.0,0.27,209.0,30.8,91.0,0.5913154482841492
273,18.7,148.0,152000.0,9.0,0.82,147.0,21.2,87.0,0.6485170125961304
274,18.3,144.0,203000.0,12.0,0.54,153.0,19.3,33.0,0.7871944308280945
275,2.3,47.0,183000.0,7.0,0.46,223.0,27.0,88.0,0.9511658549308776
276,19.3,143.0,51000.0,6.0,0.98,268.0,6.3,42.0,0.5684183835983276
277,19.7,5.0,197000.0,16.0,0.38,375.0,16.9,36.0,0.7075077891349792
278,6.8,13.0,111000.0,17.0,0.82,241.0,25.6,77.0,0.6240294575691223
279,9.0,82.0,148000.0,4.0,0.16,185.0,39.2,44.0,0.8942899703979492
280,27.9,96.0,283000.0,10.0,0.12,119.0,13.4,26.0,0.484342247247696
281,27.8,26.0,294000.0,10.0,0.61,11.0,34.4,97.0,0.6393452882766724
282,14.4,76.0,283000.0,8.0,0.39,141.0,23.7,29.0,0.5025858879089355
283,1.9,18.0,39000.0,17.0,0.27,251.0,25.8,37.0,0.6838083267211914
284,17.0,185.0,91000.0,11.0,0.49,455.0,40.5,68.0,0.5731056332588196
285,19.1,15.0,209000.0,4.0,0.05,27.0,30.0,77.0,0.48662367463111883
286,16.5,174.0,17000.0,4.0,0.68,364.0,17.0,35.0,0.6016796231269836
287,13.3,182.0,42000.0,16.0,0.32,492.0,36.3,40.0,0.543738067150116
288,29.5,90.0,265000.0,8.0,0.68,128.0,44.1,59.0,0.8436198830604553
289,11.9,160.0,103000.0,16.0,0.84,70.0,34.4,11.0,0.5267824530601501
290,3.7,196.0,261000.0,6.0,0.21,17.0,34.8,65.0,0.9683406949043274
291,15.6,15.0,243000.0,6.0,0.5,210.0,37.0,51.0,0.8572584390640258
292,6.4,185.0,5000.0,12.0,0.64,328.0,37.0,35.0,0.5273658037185669
