Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA,ene
5,0,26,0,1,0,0,40.5,0,0,0,0,0,0,0,3,0,0,24.5,0,0,0,0,0,0,0,0,-0.00801865,0.7667,0.000110407,0.009960985,0.011084,-2164.600041
0,0,0,21.5,48,0,0,18,0,0,0,0,0,3.5,0,7.5,0,0,1.5,0,0,0,0,0,0,0,0,0.020092495,1.1472,0.000199545,0.012129129,0.016452,-3432.35314
0,0,0,0,12,0,0,34.5,0,0,0,0,0,0,0,0,7,0,21,0,0,0,0,16,9.5,0,0,0.04195233,0.7109,9.58E-05,0.010040615,0.009541,-10296.05541
0,0,0,0,31,0,0,20,0,0,0,0,0,0,0.5,0,0,0,19,0,0,0,26.5,0,3,0,0,0.04894826,0.7631,0.000229648,0.012643451,0.018163,-11251.41217
0,0,0,1.5,58,0,0,12.5,0,0,0,19.5,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,5,0.13748953,1.1138,0.000913133,0.020654486,0.04421,-4952.198001
0,0,0,0,26,0,0,4.5,19,0,0,0,0,0,0,0,0,0,30,11,0,0,0,0,0,9.5,0,0.012027625,1.204,0.000368963,0.011485662,0.032124,-6697.778398
0,0,0,0,9,0,0,26.5,0,0,24,0,0,0,0,0,0,0,31,5.5,4,0,0,0,0,0,0,0.032721515,0.8084,0.000205772,0.014804231,0.0139,-4671.114423
0,21,0,0,30,0,0,1,2,0,0,0,0,0,0,0,0,0,35.5,0,0,0,10.5,0,0,0,0,0.04847805,1.0501,0.000448178,0.017337921,0.02585,-6728.104828
16,0,0,0,7,0,0,33,0,0,0,7.5,0,0,0,0,0,0,22,0,0,0,0,0,0,14.5,0,0.00483427,0.7075,0.000218468,0.009765072,0.022372,-7459.263601
0,13,0,0,1,0,0,34,9.5,0,0,0,0,0,0,0,0,6.5,36,0,0,0,0,0,0,0,0,0.018291365,0.9437,0.000158437,0.008614016,0.018393,-3350.734957
0,0,0,0,39.5,0,0,9,0,0,0,0,0,12,0,0,0,0,15,0,0,24.5,0,0,0,0,0,0.044997085,0.9449,0.00021201,0.008023847,0.026422,-10637.37045
0,0,0,0,25,0,0,18.5,10.5,0,0,0,0,0,0,6.5,0,0,18.5,0,21,0,0,0,0,0,0,0.005201155,1.2414,0.000416449,0.014716965,0.028297,-4268.014907
